Home Team,Away Team,league_x,pred_x,HT_results,AT_results,Home Team points bm,Away Team points bm,difference of points bm,Home Team playing winning ,Away Team playing winning ,Home Team total goals scored bm,Away Team total goals scored bm,Home Team total goals conceeded bm,Away Team total goals conceeded bm,Home Team difference of goals bm,Away Team difference of goals bm,Home Team mean rating bm,Away Team mean rating bm,Home Team possession bm,Away Team possession bm,Home Team total shots bm,Away Team total shots bm,Home Team accuracy shots bm,Away Team accuracy shots bm,Home Team blocked shots by defense bm,Away Team blocked shots by defense bm,Home Team blocked shots by goalkeeper bm,Away Team blocked shots by goalkeeper bm,Home Team defense srength,Away Team defense strength,Home Team goals may be scored,Away Team goals may be scored,Home Team defeat proba,Home Team null proba,Home Team winning proba,Away Team defeat proba,Away Team null proba,Away Team winning proba,playing winning  diff,total goals scored bm diff,total goals conceeded bm diff,difference of goals bm diff,mean rating bm diff,possession bm diff,total shots bm diff,accuracy shots bm diff,blocked shots by defense bm diff,blocked shots by goalkeeper bm diff,defense srength diff,goals may be scored diff,pred_y
UNION BERLIN,W. BREMEN,german,"[0.55833662554511, 0.21534884351714542, 0.2263145309377447]","['lose', 'win', 'draw', 'win', 'draw', 'draw', 'win', 'draw', 'win', 'draw', 'draw', 'draw', 'win', 'draw', 'win', 'win', 'win', 'draw', 'draw', 'win', 'win', 'lose', 'draw', 'win', 'lose', 'lose', 'lose']","['lose', 'win', 'draw', 'draw', 'lose', 'lose', 'lose', 'win', 'draw', 'draw', 'win', 'lose', 'lose', 'lose', 'lose', 'draw', 'lose', 'win', 'draw', 'draw', 'draw', 'lose', 'lose', 'win', 'draw', 'lose', 'win']",43,30,13,6,4,44,33,37,48,7,26,5.443064116872847,5.401037800125778,46.94622073508799,49.66344779357314,7.5789441000670195,15.21531324647367,0.2837574285204198,0.21077770888268527,0.3566276829662724,0.3384125046423868,0.6221965612972647,0.5960086629400769,11.512989906795259,20.26298990679526,0,0,0.48598130841121495,0.3023255813953488,0.29906542056074764,0.32558139534883723,0.21495327102803738,0.37209302325581395,-2,-11,11,19,-0.04202631674706936,2.7172270584851503,7.6363691464066505,-0.07297971963773453,-0.018215178323885584,-0.026187898357187822,8.75,0,"[0.55833662554511, 0.21534884351714542, 0.2263145309377447]"
LEVERKUSEN,FRANKFURT,german,"[0.37961843037642645, 0.2766162723697414, 0.3437652972538322]","['draw', 'win', 'win', 'draw', 'win', 'lose', 'draw', 'win', 'lose', 'win', 'draw', 'lose', 'lose', 'win', 'win', 'win', 'draw', 'draw', 'draw', 'win', 'win', 'win', 'win', 'win', 'lose', 'lose', 'lose']","['draw', 'win', 'draw', 'draw', 'draw', 'draw', 'win', 'win', 'win', 'win', 'win', 'draw', 'win', 'win', 'win', 'draw', 'win', 'win', 'draw', 'lose', 'draw', 'draw', 'lose', 'win', 'win', 'draw', 'win']",47,56,-9,7,6,48,61,34,44,14,47,6.356985171325505,6.237275597080588,45.12274504080415,57.8627581037581,7.547287248075008,11.982400324195623,0.5522370489047559,0.36529394679877447,0.15381810489242698,0.25757673905222445,0.6980928550429997,0.6705125170212889,12.257015027719177,16.14770211272732,0,0,0.36936936936936937,0.325,0.2882882882882883,0.325,0.34234234234234234,0.35,-1,13,10,33,-0.1197095742449168,12.740013062953949,4.435113076120615,-0.18694310210598142,0.10375863415979747,-0.027580338021710782,3.8906870850081425,0,"[0.37961843037642645, 0.2766162723697414, 0.3437652972538322]"
RB LEIPZIG,STUTTGART,german,"[0.6625029757878956, 0.23009765909070345, 0.10739936512140083]","['win', 'win', 'win', 'win', 'win', 'win', 'draw', 'lose', 'win', 'win', 'win', 'win', 'draw', 'lose', 'draw', 'win', 'draw', 'draw', 'win', 'lose', 'draw', 'draw', 'win', 'win', 'draw', 'lose', 'win']","['lose', 'draw', 'draw', 'draw', 'lose', 'draw', 'lose', 'draw', 'win', 'draw', 'win', 'win', 'win', 'lose', 'lose', 'win', 'lose', 'win', 'win', 'draw', 'draw', 'win', 'win', 'lose', 'win', 'lose', 'lose']",61,39,22,10,6,53,52,25,49,28,24,6.359975362941623,5.467723092250526,66.84088847972453,57.283320343121886,19.46529919654131,10.405441159382463,0.25169586293688934,0.32151230067826475,0.2785209066135558,0.2757617812503125,0.29807951068505645,0.4238805193244379,19.98234425836894,12.879262364708048,0,0,0.3116883116883117,0.2196969696969697,0.5194805194805194,0.3560606060606061,0.16883116883116883,0.42424242424242425,-4,-1,24,-4,-0.8922522706910971,-9.55756813660264,-9.059858037158847,0.06981643774137541,-0.0027591253632432977,0.12580100863938143,-7.103081893660892,0,"[0.6625029757878956, 0.23009765909070345, 0.10739936512140083]"
M'GLADBACH,BIELEFELD,german,"[0.5710482976083561, 0.25161784212450716, 0.1773338602671368]","['draw', 'draw', 'win', 'draw', 'win', 'draw', 'lose', 'win', 'win', 'win', 'lose', 'lose', 'lose', 'win', 'win', 'win', 'lose', 'lose', 'win', 'win', 'lose', 'draw', 'draw', 'win', 'draw', 'draw', 'draw']","['win', 'lose', 'lose', 'lose', 'win', 'lose', 'lose', 'win', 'win', 'lose', 'lose', 'lose', 'draw', 'lose', 'win', 'win', 'draw', 'draw', 'lose', 'lose', 'lose', 'lose', 'lose', 'win', 'draw', 'lose', 'draw']",43,30,13,7,2,54,23,46,46,8,15,6.30764838512987,6.557978646084666,43.42841087654233,43.99483846127987,11.50205409526825,12.490634322166443,0.32580193841751803,0.25869220791944675,0.2604128954365055,0.33453403688733185,0.6791382982218195,0.47932897147441667,16.921216226698814,21.52898111773276,0,0,0.27586206896551724,0.2222222222222222,0.41379310344827586,0.3333333333333333,0.3103448275862069,0.4444444444444444,-5,-31,0,7,0.2503302609547964,0.5664275847375393,0.9885802268981934,-0.06710973049807128,0.07412114145082638,-0.19980932674740282,4.607764891033945,0,"[0.5710482976083561, 0.25161784212450716, 0.1773338602671368]"
SCHALKE,HERTHA,german,"[0.25592643168540025, 0.2874350299955302, 0.45663853831906964]","['lose', 'draw', 'draw', 'lose', 'lose', 'lose', 'lose', 'win', 'lose', 'lose', 'lose', 'lose', 'draw', 'lose', 'win', 'lose', 'win', 'lose', 'lose', 'lose', 'draw', 'lose', 'draw', 'lose', 'lose', 'draw', 'draw']","['lose', 'lose', 'draw', 'lose', 'win', 'win', 'lose', 'lose', 'lose', 'lose', 'win', 'win', 'draw', 'win', 'draw', 'draw', 'draw', 'win', 'lose', 'lose', 'win', 'draw', 'draw', 'lose', 'lose', 'draw', 'lose']",13,29,-16,2,2,18,38,76,49,-58,96,4.962759747356176,6.807784696668387,48.88330401107669,43.02916121482849,5.043926373124123,12.034542359411716,0.202831882965658,0.49032921456258705,0.3077280341257549,0.1394948784987707,0.7050197592720295,0.8735897986780083,26.014490558866378,16.74638834429526,0,0,0.5217391304347826,0.3191489361702128,0.2391304347826087,0.22340425531914893,0.2391304347826087,0.4574468085106383,0,20,-27,154,1.8450249493122106,-5.8541427962481976,6.990615986287594,0.28749733159692903,-0.16823315562698418,0.1685700394059788,-9.268102214571119,0,"[0.25592643168540025, 0.2874350299955302, 0.45663853831906964]"
STUTTGART,AUGSBURG,german,"[0.5151098371685298, 0.25571193390390606, 0.22917822892756418]","['lose', 'draw', 'draw', 'draw', 'lose', 'draw', 'lose', 'draw', 'win', 'draw', 'win', 'win', 'win', 'lose', 'lose', 'win', 'lose', 'win', 'win', 'draw', 'draw', 'win', 'win', 'lose', 'win', 'lose', 'lose']","['win', 'lose', 'win', 'lose', 'draw', 'draw', 'lose', 'lose', 'lose', 'win', 'lose', 'draw', 'win', 'win', 'draw', 'lose', 'win', 'win', 'draw', 'lose', 'draw', 'lose', 'win', 'win', 'lose', 'lose', 'lose']",39,33,6,4,4,52,31,51,47,1,30,5.183861546125263,5.745356897357851,45.14166017156094,48.31498041097075,5.702720579691231,12.919979917816818,0.16075615033913238,0.33747022564983775,0.13788089062515624,0.3447089855180191,0.621031168753128,0.5783449280208774,17.745586064592235,18.53692552818183,0,0,0.42424242424242425,0.34234234234234234,0.3560606060606061,0.2882882882882883,0.2196969696969697,0.36936936936936937,0,-21,-4,29,0.5614953512325886,3.1733202394098043,7.2172593381255865,0.17671407531070538,0.20682809489286286,-0.04268624073225058,0.7913394635895941,0,"[0.5151098371685298, 0.25571193390390606, 0.22917822892756418]"
HOFFENHEIM,SCHALKE,german,"[0.6273942689168954, 0.21749918510860197, 0.15510654597450255]","['win', 'lose', 'lose', 'draw', 'win', 'lose', 'lose', 'draw', 'win', 'lose', 'win', 'win', 'lose', 'draw', 'win', 'win', 'win', 'win', 'lose', 'draw', 'lose', 'draw', 'lose', 'win', 'lose', 'win', 'lose']","['lose', 'draw', 'draw', 'lose', 'lose', 'lose', 'lose', 'win', 'lose', 'lose', 'lose', 'lose', 'draw', 'lose', 'win', 'lose', 'win', 'lose', 'lose', 'lose', 'draw', 'lose', 'draw', 'lose', 'lose', 'draw', 'draw']",36,13,23,6,0,45,19,50,78,-5,24,6.185417142696679,5.2313798736780885,51.183690804988146,47.441652005538344,14.804783741012216,8.521963186562061,0.2163419706162236,0.14308260814949567,0.2990055817689533,0.1955306837295441,0.6239991797659074,0.6858432129693481,15.780798543036907,20.25724527943319,0,0,0.436241610738255,0.2391304347826087,0.3221476510067114,0.2391304347826087,0.24161073825503357,0.5217391304347826,-6,-26,28,29,-0.9540372690185901,-3.7420387994498014,-6.282820554450154,-0.07325936246672793,-0.10347489803940921,0.061844033203440785,4.476446736396282,0,"[0.6273942689168954, 0.21749918510860197, 0.15510654597450255]"
DORTMUND,RB LEIPZIG,german,"[0.3111182499573309, 0.21712474448862729, 0.4717570055540419]","['win', 'win', 'win', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'draw', 'win', 'win', 'lose', 'win', 'win', 'win', 'win', 'lose', 'win', 'win', 'win', 'draw', 'win', 'lose', 'win', 'lose', 'lose', 'lose']","['win', 'win', 'win', 'win', 'win', 'win', 'draw', 'lose', 'win', 'win', 'win', 'win', 'draw', 'lose', 'draw', 'win', 'draw', 'draw', 'win', 'lose', 'draw', 'draw', 'win', 'win', 'draw', 'lose', 'win', 'win']",55,64,-9,9,8,66,55,42,25,24,31,7.011177276913077,6.829987681470811,51.41215372830629,66.92044423986226,13.153500609099865,22.232649598270655,0.492480010893955,0.34584793146844467,0.1419594671217013,0.19926045330677788,0.8701638994437115,0.14903975534252822,13.422407795588505,13.99117212918447,0,0,0.4888888888888889,0.24242424242424243,0.28888888888888886,0.5151515151515151,0.2222222222222222,0.24242424242424243,-1,-11,-17,7,-0.18118959544226598,15.50829051155597,9.07914898917079,-0.14663207942551032,0.05730098618507659,-0.7211241441011833,0.5687643335959649,0,"[0.3111182499573309, 0.21712474448862729, 0.4717570055540419]"
W. BREMEN,LEVERKUSEN,german,"[0.41151253737231375, 0.2614104133780056, 0.3270770492496808]","['lose', 'win', 'draw', 'draw', 'lose', 'lose', 'lose', 'win', 'draw', 'draw', 'win', 'lose', 'lose', 'lose', 'lose', 'draw', 'lose', 'win', 'draw', 'draw', 'draw', 'lose', 'lose', 'win', 'draw', 'lose', 'win', 'win']","['draw', 'win', 'win', 'draw', 'win', 'lose', 'draw', 'win', 'lose', 'win', 'draw', 'lose', 'lose', 'win', 'win', 'win', 'draw', 'draw', 'draw', 'win', 'win', 'win', 'win', 'win', 'lose', 'lose', 'lose', 'draw']",30,50,-20,3,6,34,51,51,35,-17,68,5.500518900062889,6.828492585662753,47.33172389678657,48.061372520402074,12.107656623236835,13.273643624037504,0.438722187774676,0.5129606297155358,0.22476180787674896,0.1295406313935819,0.5480043314700385,0.7490464275214999,19.253247476698814,12.128507513859589,0,0,0.24242424242424243,0.31,0.5151515151515151,0.23,0.24242424242424243,0.46,3,17,-16,85,1.327973685599864,0.7296486236155033,1.1659870008006692,0.07423844194085982,-0.09522117648316705,0.2010420960514614,-7.124739962839225,0,"[0.41151253737231375, 0.2614104133780056, 0.3270770492496808]"
WOLFSBURG,UNION BERLIN,german,"[0.5888892584247233, 0.24844860123388707, 0.16266214034138965]","['draw', 'draw', 'win', 'win', 'win', 'win', 'win', 'draw', 'win', 'draw', 'win', 'win', 'win', 'lose', 'lose', 'win', 'lose', 'draw', 'draw', 'draw', 'win', 'draw', 'lose', 'lose', 'draw', 'win', 'win', 'win']","['lose', 'win', 'draw', 'win', 'draw', 'draw', 'win', 'draw', 'win', 'draw', 'draw', 'draw', 'win', 'draw', 'win', 'win', 'win', 'draw', 'draw', 'win', 'win', 'lose', 'draw', 'win', 'lose', 'lose', 'lose', 'win']",57,46,11,9,4,54,47,32,38,22,25,6.180398185085505,6.121532058436424,49.3485713750124,50.973110367543995,16.915175992064178,11.78947205003351,0.21751460873289674,0.3293787142602099,0.22123330234156297,0.3033138414831362,0.5899655948230436,0.7277649473152991,12.844815591177012,14.00649495339763,0,0,0.2222222222222222,0.19658119658119658,0.5252525252525253,0.3162393162393162,0.25252525252525254,0.48717948717948717,-5,-7,6,3,-0.05886612664908153,1.6245389925315976,-5.125703942030668,0.11186410552731318,0.08208053914157326,0.1377993524922555,1.1616793622206174,0,"[0.5888892584247233, 0.24844860123388707, 0.16266214034138965]"
