,Home Team,Away Team,year,league,Home_win,Draw_win,Away_win,HT_results,AT_results
2356,WEST BROM,TOTTENHAM,2020,english,0.3248836851652026,0.27545405562901687,0.39966225920578047,"['lose', 'draw', 'draw', 'lose', 'win', 'lose', 'lose']","['lose', 'draw', 'draw', 'win', 'win', 'win', 'lose']"
2357,LEICESTER CITY,WOLVES,2020,english,0.463333256359901,0.23725579741187983,0.2994109462282191,"['win', 'lose', 'lose', 'win', 'lose', 'win', 'lose']","['lose', 'win', 'draw', 'win', 'draw', 'lose', 'win']"
2358,MAN CITY,LIVERPOOL,2020,english,0.3783139456964057,0.4287053152939428,0.1929807390096515,"['win', 'lose', 'win', 'draw', 'win', 'win', 'draw']","['win', 'win', 'win', 'win', 'win', 'win', 'win']"
2359,ARSENAL,ASTON VILLA,2020,english,0.26399368121530065,0.2943860426029312,0.4416202761817681,"['win', 'win', 'lose', 'lose', 'lose', 'lose', 'draw']","['win', 'win', 'lose', 'lose', 'lose', 'win', 'draw']"
2360,NEWCASTLE,CHELSEA,2020,english,0.16170205079003364,0.19570593015429363,0.6425920190556729,"['lose', 'win', 'lose', 'win', 'lose', 'win', 'draw', 'draw']","['lose', 'win', 'draw', 'win', 'draw', 'win', 'win', 'draw']"
2361,ASTON VILLA,BRIGHTON,2020,english,0.4279450762515531,0.32387058100607724,0.2481843427423696,"['win', 'win', 'lose', 'lose', 'lose', 'win', 'draw', 'win']","['lose', 'lose', 'draw', 'draw', 'draw', 'lose', 'draw', 'lose']"
2362,TOTTENHAM,MAN CITY,2020,english,0.611261498386193,0.2695120433854593,0.11922645822834761,"['lose', 'draw', 'draw', 'win', 'win', 'win', 'lose', 'draw']","['win', 'lose', 'win', 'draw', 'win', 'win', 'draw', 'win']"
2363,MAN UTD,WEST BROM,2020,english,0.609355404454596,0.2420009375331592,0.14864365801224483,"['lose', 'lose', 'draw', 'lose', 'win', 'draw', 'win', 'win']","['lose', 'draw', 'draw', 'lose', 'win', 'lose', 'lose', 'lose']"
2364,FULHAM,EVERTON,2020,english,0.38545858475508016,0.2707648554480621,0.3437765597968578,"['lose', 'lose', 'lose', 'win', 'lose', 'draw', 'draw', 'draw']","['win', 'win', 'draw', 'lose', 'lose', 'win', 'win', 'lose']"
2365,SHEFFIELD UTD,WEST HAM,2020,english,0.24245199152966312,0.3397311850321445,0.4178168234381924,"['lose', 'lose', 'draw', 'lose', 'lose', 'lose', 'lose', 'lose']","['lose', 'win', 'draw', 'win', 'win', 'lose', 'draw', 'draw']"
2366,LEEDS UTD,ARSENAL,2020,english,0.4737059187168671,0.26794132341666904,0.25835275786646383,"['win', 'draw', 'lose', 'lose', 'draw', 'lose', 'win', 'win']","['win', 'win', 'lose', 'lose', 'lose', 'lose', 'draw', 'win']"
2367,LIVERPOOL,LEICESTER CITY,2020,english,0.647811667440412,0.2202039703591315,0.13198436220045645,"['win', 'win', 'win', 'win', 'win', 'win', 'win', 'draw']","['win', 'lose', 'lose', 'win', 'lose', 'win', 'lose', 'draw']"
2368,BURNLEY,CRYSTAL PALACE,2020,english,0.45078616811562033,0.278832774985906,0.27038105689847364,"['lose', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'win']","['win', 'lose', 'draw', 'win', 'lose', 'draw', 'lose', 'draw']"
2369,WOLVES,SOUTHAMPTON,2020,english,0.3134207081194024,0.31499891682560105,0.3715803750549966,"['lose', 'win', 'draw', 'win', 'draw', 'lose', 'win', 'draw']","['lose', 'win', 'win', 'win', 'lose', 'win', 'lose', 'draw']"
2370,CRYSTAL PALACE,NEWCASTLE,2020,english,0.40215314676662955,0.31008407120238357,0.2877627820309869,"['win', 'lose', 'draw', 'win', 'lose', 'draw', 'lose', 'draw', 'win']","['lose', 'win', 'lose', 'win', 'lose', 'win', 'draw', 'draw', 'lose']"
2371,BRIGHTON,LIVERPOOL,2020,english,0.2192660689088218,0.28055920139931445,0.5001747296918638,"['lose', 'lose', 'draw', 'draw', 'draw', 'lose', 'draw', 'lose', 'draw']","['win', 'win', 'win', 'win', 'win', 'win', 'win', 'draw', 'lose']"
2372,MAN CITY,BURNLEY,2020,english,0.7478727223830425,0.18021032602098777,0.0719169515959697,"['win', 'lose', 'win', 'draw', 'win', 'win', 'draw', 'win', 'win']","['lose', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'win', 'draw']"
2373,EVERTON,LEEDS UTD,2020,english,0.3121512709927857,0.31750325812141844,0.3703454708857958,"['win', 'win', 'draw', 'lose', 'lose', 'win', 'win', 'lose', 'lose']","['win', 'draw', 'lose', 'lose', 'draw', 'lose', 'win', 'win', 'win']"
2374,WEST BROM,SHEFFIELD UTD,2020,english,0.39577898501189723,0.26307254193254537,0.34114847305555734,"['lose', 'draw', 'draw', 'lose', 'win', 'lose', 'lose', 'lose', 'lose']","['lose', 'lose', 'draw', 'lose', 'lose', 'lose', 'lose', 'lose', 'win']"
2375,SOUTHAMPTON,MAN UTD,2020,english,0.3224546900912186,0.2592091699949284,0.41833613991385316,"['lose', 'win', 'win', 'win', 'lose', 'win', 'lose', 'draw', 'win']","['lose', 'lose', 'draw', 'lose', 'win', 'draw', 'win', 'win', 'win']"
2376,CHELSEA,TOTTENHAM,2020,english,0.4805837926790537,0.30757477099074637,0.21184143633019994,"['lose', 'win', 'draw', 'win', 'draw', 'win', 'win', 'draw', 'lose']","['lose', 'draw', 'draw', 'win', 'win', 'win', 'lose', 'draw', 'win']"
2377,ARSENAL,WOLVES,2020,english,0.3114457663630092,0.2750394228923273,0.4135148107446636,"['win', 'win', 'lose', 'lose', 'lose', 'lose', 'draw', 'win', 'draw']","['lose', 'win', 'draw', 'win', 'draw', 'lose', 'win', 'draw', 'lose']"
